abdanken               | abdicate                       | tahttan ├ºekilmek
anh├ñufen               | accumulate                     | biriktirmek
abhelfen               | remedy                         | ├ºare
ausbetten              | unburden                       | rahatlatmak
ablaufen               | expire                         | s├╝resi dolmak
ankn├╝pfen              | connect                        | ba─ƒlamak
zuerkennen             | acknowledge                    | kabullenmek
ansehen                | view                           | g├╢r├╝┼ƒ
anleiten               | guide                          | rehber
anl├╝gen                | lie to                         | yalan s├╢ylemek
ausschneiden           | cut out                        | kesmek
einbilden              | imagine                        | hayal etmek
anstreben              | strive for                     | i├ºin ├ºabalamak
anf├╝hren               | lead                           | yol g├╢stermek
abendlichen            | evening                        | ak┼ƒam
abgehalfterten         | worn-out ones                  | y─▒pranm─▒┼ƒ olanlar
abgelegenen            | remote                         | uzak
abgerissenen           | demolished                     | y─▒k─▒lm─▒┼ƒ
abgeschiedenen         | secluded                       | tenha
abgeschlossenen        | completed                      | tamamlanm─▒┼ƒ
abnormalen             | abnormal                       | anormal
absteigenden           | descending                     | al├ºalan
achtj├ñhrigen           | eight year old                 | sekiz ya┼ƒ─▒nda
administrativen        | administrative                 | idari
afghanischen           | Afghan                         | Afgan
afroamerikanischen     | African American               | Afrikal─▒ Amerikal─▒
akzeptablen            | acceptable                     | kabul edilebilir
algerischen            | Algerian                       | Cezayir
